label	sentence
negative	According to the company , in addition to normal seasonal fluctuation the market situation has weakened during autumn 2008 .
positive	EuroChem CFO Andrey Ilyin said : `` This facility marks another important step for EuroChem in securing the long-term financing necessary for our potash and other strategic projects '' .
neutral	S Group 's loyal customer magazine Yhteishyv+ñ came second with 1,629,000 readers and Sanoma Corporation 's daily newspaper Helsingin Sanomat was third with 1,097,000 readers .
neutral	The order includes 48 ship cranes that will be delivered for 12 container feeders to be built at Wenchong shipyard in China .
neutral	In 2009 , it reported net sales of approximately EUR 6mn .
neutral	In Finland , Martela offers a comprehensive service that can cover the entire process of change from initial inventory and design to removal and maintenance .
neutral	Microsoft last week also issued the first patch for the Windows 7 operating system beta it had released days earlier .
positive	Raisio 's bid to buy Glisten is a `` win-win '' deal for both companies , the chairman of the UK snacks firm told just-food today 10 February .
neutral	Why not give your bedroom a cool makeover for summer .
positive	Pre-tax profit totaled EUR 397.4 mn , up from EUR 164.7 mn .
positive	Cargotec Corporation , Press Release , August 26 , 2008 at 10 a.m. Finnish time Cargotec 's MacGREGOR business area providing marine cargo handling and offshore load handling solutions has received significant offshore crane retrofit order .
neutral	UNC Charlotte would also deploy SSH Tectia Connector to enable secure application connectivity .
neutral	GeoSentric is acquiring extra financing by issuing a maximum of 220,000 new shares and a convertible bond with subscription rights for 880,000 shares , which have been fully subscribed .
positive	UPM-Kymmene has generated thirty-one consecutive quarters of positive EBITDA .
neutral	A quick `` one-stop-shop '' to understand the company .
positive	All of Raisio 's divisions recorded an operating profit .
neutral	Helsinki 19 May 2010 - Finnish company Lemminkainen Oyj ( HEL : LEM1S ) said today that it will construct an office building at Toolonlahti in downtown Helsinki , without disclosing financial details .
neutral	The market making in accordance with the agreement will begin on September 24 , 2009 .
positive	The optimization of the steel components heating process will reduce the energy consumption .
neutral	The antibody , administered at repeated doses of up to 8 mg-kg , was generally well tolerated , and the pharmacokinetic characteristics of BTT-1023 in psoriasis patients were consistent with those observed in a previously completed study in rheumatoid arthritis RA patients .
positive	The third order awarded to Outokumpu Technology is by Shalkiya Zinc of Kazakhstan for the Shalkiya zinc-lead project in Kazakhstan .
negative	The result will also be burdened by increased fixed costs associated with operations in China , and restructuring costs in Japan .
positive	According to Deputy MD Pekka Silvennoinen the aim is double turnover over the next three years .
neutral	Stora Enso 's business in North America has annual capacity of about 3 million tons and employs about 4,350 people .
positive	Nordea sees a return to positive growth for the Baltic countries in 2011 .
neutral	A corresponding increase of 85,432.50 euros in Ahlstrom 's share capital has been entered in the Trade Register today .
positive	In the reporting period , net sales rose by 8 % year-on-year to EUR64 .3 m , due to the business acquisitions realized during the first half of 2008-09 , the effect of which was EUR10 .9 m in the review period .
positive	29 September , 2010 Finnish waste management and recycling company Lassila & Tikanoja expands its operations in Russia by introducing its recently completed recycling plant in the city of Dubna near Moscow .
neutral	Europe however remains an important and strong market for us .
neutral	Pharmaceuticals - Belgium This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Belgium .
positive	Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit rose to EUR 24.1 million ( USD 33.6 m ) in the third quarter of 2010 from EUR 17.9 million a year earlier .
neutral	Helsinki on October 22 , 2008 SSH COMMUNICATIONS SECURITY CORP Board of Directors For further information , please contact : Tomi Laamanen , Chairman , tel. +358 0 400 609 544 Distribution : NASDAQ OMX Helsinki Ltd. .
neutral	Metsa-Botnia will sell 82.1 % of its stake in the Uruguayan companies and Metsaliitto -- 5.5 % .
neutral	Only L+ñnnen Tehtaat showed a loss , but it has only recently started streamlining measures .
neutral	`` This transaction supports Huhtamaki 's strategic review of rigid plastic consumer goods operations '' , says Huhtam+ñki Oyj 's CEO Jukka Moisio .
positive	The aim is to achieve EUR 2.5 mn yearly savings .
neutral	Virala Oy Ab was allocated by the Board of Directors an amount of EUR 1,9 million which is EUR 0,25 million lower than maximum announced on 12/30/2010 .
positive	Tim Cockroft brings with him an excellent track record having more than 18 years experience ; moreover , Tim has successfully developed the Capital Markets operations at Kaupthing Singer & Friedlander involving corporate finance and broking with a focus on mid-market companies .
neutral	The company expects net sales of 65 mln euro ( $ 85.1 mln ) for 2006 .
neutral	The Finnish real estate investment company Interavanti Oyj said on Monday ( 22 September ) that it has agreed to sell its 65 % ownership in the Finnish ticket service company Lippupiste Oy to CTS Eventim AG ( 56,1 % ) and to the managing director of Lippupiste Oy .
negative	Altogether Finnair has canceled over 500 flights because of the strike .
neutral	He announced a `` solutions unit '' to speed co-operation in August , and shifted Simonson from finance chief to low-end phones in October .
positive	Both operating profit and net sales for the six-month period increased , respectively from EUR7 .5 m and EUR655 .5 m , as compared to the corresponding period in 2005 .
neutral	Two of these contracts are for turntable anode vibrocompactors that will be delivered to Gansu Hualu Aluminum Co Ltd and another unnamed costumer .
positive	Efore 's results for the last quarter showed an even faster improvement as the company managed to better source its components .
neutral	In 2007 , the Group 's net sales stood at EUR 42 million and it had about 1,445 employees .
neutral	Unit prices for straddle carriers vary between EUR700 ,000 and EUR900 ,000 , the company added .
neutral	Only this time , Nokia , India 's largest MNC , has sought out a topic that could spark off a million approaches ` Creativity in Emerging Markets .
negative	The airline estimated that the cancellation of its flights due to the closure of European airspace , and the process of recommencing traffic , have caused a the company a loss of EUR20m , including the costs of stranded passengers ' accommodation .
neutral	Motorola accounted for 11.5 percent of the South Korean handset market as of the end of April , Samsung held 55 percent and LG Electronics 19 percent , according to Korea-based ATLAS Research Group .
negative	Coca-Cola was the market leader of manufacturers with a market share of 36.9 % , down 2.2 % from the corresponding period in 2004-2005 .
positive	Based upon its unique fiber expertise and innovative approach , the company has a strong market position in several business areas in which it operates .
positive	Finland 's Neste Oil has been awarded the Chemical Industry Federation of Finland 's Innovation Award for its NExBTL technology , which enables biodiesel to be produced from vegetable oil and animal fat .
neutral	Europe needs 17 new large paper machines .
neutral	The order is included in Metso 's fourth quarter 2007 order backlog .
neutral	Community gardening has become a popular activity , especially to raise vegetables .
negative	( ADPnews ) - May 4 , 2010 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit declined to EUR 12.9 million ( USD 17m ) in the first quarter of 2010 from EUR 17 million in the correspond
neutral	The aim is to develop open-source application solutions .
neutral	Sponda plans to renovate old real estate and develop new property .
neutral	She will succeed Krister Kylas , who has decided to leave TeliaSonera .
neutral	Elcoteq SE is Europe 's largest contract electronics maker and has set up a unit in Bangalore in association with Avista Advisory of Mumbai .
neutral	Aldata noted that its Voice Supply Chain Technology approach enables VDW to integrate with warehouse management systems .
positive	The airline has ordered nine Airbus A350-900 aircraft with deliveries from 2011 , and in doing so becomes the lead airline for the latest variant of Rolls-Royce Trent series engines , called the 1700 .
neutral	The company expects meat purchases to remain at about 8mn kilos in 2011 .
neutral	These module products will be available for trials during 3Q-07 and for volume deliveries during 4Q-07 .
positive	In future , the company intends to look for know-how from outside the company and to cooperate with other actors in the sector .
neutral	CapMan said the deal 's effect on its cash flow for 2009 totals EUR3 .4 m , but the transaction would not affect its financial results for 2009 as it was executed at fair value .
positive	Revenues at the same time grew 14 percent to 43 million euros .
neutral	Alfa group will have 43.9 % of voting stock in the new company and Telenor 35.4 % with a free float of 20.7 % .
positive	In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .
neutral	There have not been previous share subscriptions with 2004 stock options .
positive	In the fourth quarter of 2009 , Atria 's net loss shrank to EUR 1.2 million from EUR 5.9 million and net sales contracted to EUR 340.4 million from EUR 361.1 million .
neutral	Other measures included increasing synergies and economies of scale within the Grimaldi Group and personnel adjustments , divestments and redelivery of excess tonnage .
neutral	Unlisted British Biologicals makes B - and D - proteins , and other disease-specific supplements that cover diabetes , hepatitis , asthma and other cardiovascular ailments .
neutral	The total restructuring costs are expected to be about EUR 30mn , of which EUR 13.5 mn was booked in December 2008 .
neutral	Latvia 's Stockmann shopping mall is a subsidiary of Finland 's Stockmann Plc. .
positive	HELSINKI AFX - Outokumpu said its technology unit has won a 28 mln eur contract from Bosnia-Herzegovina 's Aluminij dd Mostar to upgrade an anode plant .
neutral	Fortum is looking to invest in several new production units , including a new waste-fired unit at its Brista combined heat and power ( CHP ) plant and a biofuels-based production unit at Vartan CHP plant .
neutral	You need to be ready when the window opens up , Rosberg said .
neutral	The Polish business employs about 1,000 people , and it had net sales of about EUR 70mn in 2007 .
positive	Cargo volume increased by approximately 5 % .
negative	During the strike , Finnair estimates to incur a net loss of between EUR2m and EUR2 .5 m per day .
neutral	Latin America currently accounts for approximately 40 % of sales at Tecnotree , company president and CEO Eero Mertano recently told BNamericas .
neutral	The Filter Tips cover the volume range from 0.1-1200 -Ál including new sizes for 10 , 20 , 100-120 , 200 , 300 , 1000 and 1200 -Ál volume capacities .
neutral	Originally posted to the PCMag.com security blog , Security Watch .
positive	Exports grew 16.5 percent to 19.1 million liters .
neutral	The customers will have an access to integrated propeller and gear packages from one source .
neutral	Technopolis , St. Petersburg 's Telecommunications University and the Russian Support Fund for Legislative Initiatives signed a protocol of intent in May of this year to set up a technopark in St. Petersburg on the base of the St. Petersburg Telecommunications University .
neutral	The oil shale feeder-supply solution will deliver crushed oil shale to the shale oil refinery already in operation as well as to the novel Enefit-280 shale oil technology processing plant .
neutral	The orders also include a few high-power drives for the control of seismic compressors .
neutral	The original patent was filed in Finland under application No. .
neutral	Ahlstrom 's share is quoted on the NASDAQ OMX Helsinki .
neutral	ALEXANDRIA , Va. , March 15 -- Jaakko Vilo of Turku , Finland , has developed a panel press .
neutral	The objective is that trading in the shares will commence on May 2 , 2007 .
neutral	It was decided that the auditors are reimbursed according to invoice .
neutral	With this acquisition the wireless modem unit and its approximately 1,100 employees were transferred to Renesas Electronics Corporation .
neutral	Elcoteq 's global service offering covers the entire lifecycle of products , from product development to after-market services .
positive	The company expects its net sales in the first half of 2008 to reach the previous year 's level .
neutral	What we think ?
neutral	The company will disclose further details , including the anticipated transaction timetable and the name of the new investor , within one week .
neutral	The contract will take effect in 2009 for a five or ten year period .
positive	The Department Store Division reported an increase in sales of 4 per cent .
neutral	The contract also includes cutting and edging wagon parts at Ruukki 's steel service centres in Seinajoki and Raahe , from where they will be delivered to VR for welding and assembly .
neutral	It will use the proceeds from the transaction to achieve its target .
neutral	Tieto in Latvia is represented by IT services companies TietoEnator Alise and TietoEnator , which has operations in the industries of Financial Services Cards , Retail and Logistics and IT Outsourcing and Managed Services .
negative	Commission income fell to EUR 4.6 mn from EUR 5.1 mn in the corresponding period in 2007 .
positive	Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .
positive	Cargo volume grew by 7 % .
neutral	For 24-hour news , try ICIS news www.icis.com Click `` trial '' , then ICIS news
neutral	The Remote Radio head module will be available at 4W power for 2.5 GHz and 3.5 GHz TDD frequency bands .
neutral	In the sinter plant , limestone and coke breeze are mixed with the iron ore concentrate and sintered into lump form or sinter for use in the blast furnaces as a raw material for iron-making .
neutral	The fine print is here .
positive	ABB Deutsche Bank upgraded its recommendation on Swiss-Swedish engineering group ABB Ltd. to ` Buy ' from ` Hold ' .
neutral	In addition to verification of an identity and digital signatures , new state-approved Mobile ID enables to cast votes in elections as well .
neutral	The fair value of CapMan Plc 's own investments on 30 September 2008 amounted to MEUR 59.8 .
negative	The repurchases shall decrease the distributable capital and reserves .
neutral	The company said shareholders will be able to vote on the agreement at an EGM scheduled for later this month .
negative	The largest restructuring is planned for Italy , where negotiations on about 40 job cuts are to be initiated today , the company noted .
positive	In the beginning of this year , Wartsila had secured an order to deliver four gas-fuelled main engines and propulsion machinery for the same vessel .
neutral	POYRY PLCCompany Announcement 10 December 2010 at 4.10 p.m. Pursuant to Poyry PLC 's stock option program 2004 , 63 792 new shares of the company have been subscribed since 27 October 2010 with stock options 2004B .
neutral	Subscribers of China Unicom , the nation 's second largest mobile phone operator after China Mobile , are expected to release pictures , videos and blog on the Internet via mobile phones as of March 2008 .
neutral	A few employees would remain at the Oulu plant in support functions for other group units .
positive	- UPM-Kymmene upgraded to ` in-line ' from ` underperform ' by Goldman Sachs .
positive	`` We are pleased to welcome Tapeks Noma into Cramo group .
neutral	Forest certification is a voluntary system aimed at promoting sustainable forest management in commercial forests .
neutral	The device offers multimedia performance along with a host of productivity applications , including live stock prices .
positive	In the autumn , it plans to expand service to St. Petersburg and Moscow and launch service to Yekaterinburg , Russia , flying there three times a week .
negative	( ADP News ) - Feb 11 , 2009 - Finnish wood products technology supplier Raute Oyj ( HEL : RUTAV ) said today its net profit decreased to EUR 4.7 million ( USD 6.1 m ) for 2008 from EUR 6.6 million for 2007 .
neutral	A paper mill in the central Maine town of Madison soon will have a new owner .
neutral	The company will release its 2010 results on 11 February 2011 .
neutral	In 2008 , Kemira recorded revenue of approximately EUR 2.8 billion and had a staff of 9,400 .
positive	The company reports a loss for the period of EUR 0.4 mn compared to a loss of EUR 1.9 mn in the corresponding period in 2005 .
neutral	Also Chile is an important market area for forest machine companies .
neutral	Simultaneously , Alma Media has purchased a 35 % share of Arena Interactive , a subsidiary of Arena Partners with a focus on mobile solutions development .
negative	The Baltimore Police and Fire Pension , which has about $ 1.5 billion , lost about $ 3.5 million in Madoff Ponzi scheme .
neutral	The arrangements do not apply to the group 's units outside Finland .
neutral	It is expected to be completed by the end of 2007 .
positive	Finnish Ponsse has signed an agreement with Babcock Africa for the distribution and support of Ponsse forest machines , harvester heads , and information systems in South Africa .
neutral	The Annual General Meeting approved that the yearly remuneration for the members of the Board of Directors shall remain at EUR 40.000 for the Chairman of the Board , EUR 30.000 for the Deputy Chairman of the Board and EUR 20.000 for other members of the Board .
neutral	The contract incorporates a Convergent Charging rating solution for voice and data , which includes Internet , GPRS , SMS , MMS and WAP .
positive	Kesko Agro Lietuva , the agricultural machinery and grain trader and another member of the Kesko Group , boosted its sales by 42.9 percent to 13.4 million euros , VAT inclusive .
neutral	Shares will be acquired in accordance with section 5 of the rules of NASDAQ OMX Helsinki and other rules applicable to the acquisition of own shares .
negative	Export declined by 6 percent to 16.4 million liters .
negative	As a result some 20 persons will no longer be needed .
negative	The airline 's share price closed down slightly at (  x20ac ) 12.51 ( $ 15US .74 ) in Helsinki .
neutral	The value of the order is about EUR 30mn .
neutral	Nokia Siemens Networks provides mobile and fixed network infrastructure , communications and networks service platforms , as well as professional services , to operators and service providers .
neutral	After the sale , Outokumpu 's share of the technology unit will be reduced to some 12-20 percent .
neutral	The insurance division turned a EUR120m profit .
neutral	Jon Risfelt is 49 years old holds a Master of Science in Chemical Engineering from the Swedish Royal Institute of Technology .
positive	Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .
positive	SINGAPORE ( ICIS ) -- ( 1 ) Kemira and Indian water infrastructure firm ( 2 ) IVRCL have agreed to form a join venture which includes a new inorganic coagulant manufacturing facility in Andhra Pradesh state , India , the Finnish water treatment chemicals maker said on Tuesday .
neutral	Dutch publisher De Vijver said today it has agreed to buy a 49 % stake in Belgian weekly magazine Humo from Finnish media company Sanoma HEL : SAA1V .
neutral	Net profit in the same period in 2006 was (  x20ac ) 172 million .
neutral	Also in Latvia , we act as a partner for bakery customers in both production and product development .
neutral	This organization will assume the responsibility for operations in Russia .
neutral	Financial , strategic and operational factors are considered .
neutral	The company said that the results of the third quarter do not include non-recurring items .
neutral	For 2009 , net profit was EUR 3 million and the company paid a dividend of EUR 1.30 apiece .
negative	Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .
negative	Device volume in the area decreased by 21 % to 2.7 mn units .
positive	Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .
neutral	Technopolis has approximately 130 customer companies in Jyvaskyla .
neutral	shock phase ' , consumers have once again started to plan and implement building projects .
neutral	The company is studying the feasibility of focusing most of its processed meat production in the Vantaa facilities and the processing of fresh meat in the Forssa facilities .
neutral	Incap Contract Manufacturing will carry out the manufacturing for these agreements at its factory in Tumkur , near Bangalore .
positive	Stora Enso 's third-quarter pre-tax profit doubled to EUR 197mn .
neutral	The Finland-based company says it will move into an existing 260,000-square-foot facility in September .
neutral	Its product portfolio comprises harvesters , forwarders , harvester heads , as well as cranes and loaders .
neutral	Her last position in Nokia Siemens Networks was head of Business Human Resources NSN global IT .
neutral	The newly-completed Allure of the Seas and its identical sister ship , Oasis of the Seas , which was completed last year are the world 's largest cruise ships .
negative	A total of 16.5 mn passenger ship journeys took place in the northern Baltic Sea in 2007 , slightly down from 16.5 mn in 2006 .
neutral	Strong brand visibility nationally and regionally is of primary importance in home sales , vehicle and consumer advertising .
positive	It will also strengthen Ruukki 's offshore business .
neutral	Scanfil holdings include 100 % of contract electronics manufacturer Scanfil EMS Group .
negative	Commission income decreased to EUR 3.8 mn , compared to EUR 4.6 mn in the third quarter of 2007 .
positive	Diluted earnings per share ( EPS ) rose to EUR 0.52 versus EUR 0.09 .
positive	In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .
neutral	Payment for acquired shares will be made in cash , and the price per share will be EUR 1 plus an administration fee .
positive	ADP News - Nov 13 , 2008 - Finnish printed circuit board PCB maker Aspocomp Group Oyj OMX : ACG1V said today that its net loss narrowed to EUR 2 million USD 2.5 m in the first nine months of 2008 from EUR 57
positive	in Q1 '10 19 April 2010 - Finnish forest machinery and equipment maker Ponsse Oyj HEL : PON1V said today that it expects to swing to a net profit of some EUR6 .3 m in the first quarter of 2010 , from an EUR9 .6 m loss a year earlier .
neutral	Master of Mayawas jointly developed by Nokia Siemens Networks and UFA - FremantleMedia , and will be actively advertised by Maxis in the end of May 2007 .
neutral	According to the company , the lay-offs will be temporary .
positive	Neste oil 's board proposed 1.00 eur dividend for the full-year 2007 , compared with 0.90 eur a year ago .
neutral	The firm 's services include copying , printing , CAD-modelling , digital printing , scanning , SokoPro project bank and courier services .
positive	KAUKO-TELKO LTD PRESS RELEASE 19.06.2007 AT 14.00 1 ( 1 ) Telko Group ( Kauko-Telko ) is expanding its strategic partnership with BP Industrial Lubricants & Services ( BP ILS ) by acquiring total ownership of BP 's Swedish retail company , Molub-Alloy AB .
positive	After the transaction , Alma Media raised its stake in Talentum to 30.65 % of the shares and some 31.12 % of voting rights .
neutral	The sale of Savcor FACE to Cencorp will result in a profit or loss which can not yet be determined , owing to factors including the valuation of the consideration shares to be received and prevailing exchange rates .
neutral	The company was supposed to deliver machinery to a veneer mill in the Tomsk region , in Russia .
positive	The offer represents a premium of 24 % over the stock 's closing price on Friday .
neutral	Net sales in 2008 are expected to be on the same level as in 2007 .
positive	Ragutis , which is controlled by the Finnish brewery , reported a 5.4-per-cent rise in beer sales to 10.44 million litres and held an 11.09-per-cent market share .
positive	Finnish steel maker Rautaruukki Oyj ( Ruukki ) said on July 7 , 2008 that it won a 9.0 mln euro ( $ 14.1 mln ) contract to supply and install steel superstructures for Partihallsforbindelsen bridge project in Gothenburg , western Sweden .
neutral	The share of the share capital of both above mentioned shareholders remains below 5 % .
neutral	This release is not an offer of securities for sale into the United States or elsewhere .
positive	As a result , the company currently anticipates net sales to increase and the operating result to be positive .
neutral	Nordea Bank AB publ holds 6.000 Alma Media shares , representing 0.008 % of share capital and voting rights .
negative	55 workers in +àm+Ñl will be affected by the close-down .
positive	The fund at fair value will increase correspondingly .
neutral	Its total annual revenue comes up to about 160 mln zloty ( $ 56.9 mln-42 .3 mln euro ) .
neutral	Inha Works has invested in its product development and market research .
neutral	These restrictions do not apply to statutory dividends .
positive	` After fixing our home-base , cutting costs and closing the non-profitable units , we are now looking at going forward , ' she said .
neutral	The first stage of the contract covers 133 stores and 600 cash registers .
neutral	The closing of such transaction took place today .
neutral	Rohwedder Group is an automotive supplies , telecommunications and electronics industry provider for customers in Europe , North America and Asia .
neutral	During the rally , which was authorized by the city administration , a consulate official came out to the workers , spoke to them and took a letter from them .
positive	The actions are expected to deliver annual cost savings of some EUR15-20m .
neutral	I can say categorically , no , ' Wahlroos was quoted as saying by the paper , when asked about Sampo 's interest in making a bid for RSA .
negative	Finnish Food Workers ' Union SEL plans to hasten its collective bargaining with a two-day strike that would begin on 7 April 2010 , in Finland .
neutral	We serve a broad range of customers , including construction and process industries , shipyards , the public sector and households .
neutral	At this stage , a maximum of 60,000 Tulikivi Series A shares will be acquired , representing about 0.16 per cent of the company -¦ s shares outstanding .
negative	ADP News - Feb 13 , 2009 - Finnish retailer Kesko Oyj HEL : KESBV said today its total sales , excluding value added tax VAT , stood at EUR 661.3 million USD 853.1 m in January 2009 , down 15.2 % year-on-yea
neutral	AHMS will also offer Hotel and Hotel Project Consultancy , Management Services , Brand Franchise , Training and Sales and Marketing services on a pan-India basis .
positive	21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .
positive	According to Kesko , the company agreed with the city administration about lease of the building in 2006 , its resettlement and construction of a five-star hotel Hilton for 120 rooms .
neutral	Connectivity Services include outsourced Scan and Capture which transfers paper invoices into electronic format and Basware Business Transactions Service enables the customer to receive and send invoices in an electronic format .
neutral	Mr K.R. Vasantha has been appointed Managing Director of Incap Contract Manufacturing Services Pvt. Ltd. .
positive	According to CEO Matti Karppinen , Frozen Foods posted a good result in 2010 , as it did in 2009 .
negative	Operating loss totaled EUR 25mn compared to a profit of EUR 63mn in the corresponding period in 2005 .
neutral	BasWare Order Matching automatically matches purchase invoices with approved purchase orders .
neutral	New Novator products are supposed to be exported .
neutral	Finnish logistics and information solutions provider Done Solutions Corporation ( OMX Helsinki : DSO1V ) reported on Wednesday ( 29 October ) an operating profit of EUR3 .6 m on net sales of EUR35 .1 m for the period January-September 2008 .
neutral	The increase range will vary up to 10 % .
positive	`` The acquisition of Sampo Bank makes strategic sense for DB , '' says Lindsey Liddell , director of Fitch Ratings 's Financial Institutions Group .
neutral	128,538 shares can still be subscribed for with Series E share options , max .
neutral	19 May 2010 - Finnish company Lemminkainen Oyj ( HEL : LEM1S ) said today that it will construct an office building at Toolonlahti in downtown Helsinki , without disclosing financial details .
positive	Outokumpu of Finland , stainless steel manufacturer , plans to enter into a supply agreement with the Indian Railways .
neutral	Country : , Switzerland Sector : Pharmaceuticals Target : Synosia Therapeutics Holding AG Buyer : Biotie Therapies Corp Deal size in USD : 129.4 m Type : Corporate acquisition Financing : All-stock Status : Closed
neutral	The order includes a new Crecent former , headbox , and reel .
neutral	According to the announcement of the Helsinki Stock Exchange the share of Sentera shall be delisted from the NM-list of the Helsinki Stock Exchange accordingly .
positive	The Federal Secretary for Transport and Communication of Mexico has awarded Poyry and its Mexican partner Sintra a consulting contract in connection with the Buenavista-Cuautitlan suburban railway .
neutral	The development of the technological park , which will specialize in telecommunications and information technologies , is part of the state program for the formation of technoparks for hi-tech sectors in Russia .
neutral	The end-to-end delivery combines the competencies and services from TietoEnators Telecom & Media , Processing & Network and Digital Innovations Business Areas .
positive	About Elcoteq Elcoteq SE is a leading electronics manufacturing services ( EMS ) company in the communications technology field .
neutral	The podcast , sees Harple provide the low-down on GyPSii 's platform , which takes someone 's location and demographic information to produce a contextual index of the world around them .
negative	Incap Furniture is presently negotiating staff cuts .
neutral	Proline Plus is available in both adjustable single and multichannel models and fixed volume single-channel models , in volume ranges from 0.1 micro litres to 10 ml .
negative	Sales in Finland decreased by 2.0 % , and international sales decreased by 9.3 % in terms of euros , and by 15.1 % in terms of local currencies .
positive	The agreement will provide The Switch with double the converter capacity , whilst opening up further manufacturing locations in China .
negative	In the Baltic countries , development of operations and reorganisation continued , and non-recurring items related to the takeover process lowered earnings .
neutral	Le Lay succeeds Walter G++nter and will be based in Finland .
positive	The sale of the Healthcare Trade business supports Oriola-KD 's strategy to focus on Pharmaceutical Wholesale and Retail businesses .
neutral	The business had gross written premiums of EUR152 .4 m (  91.5 m ) in 2000 , a net combined ratio of 133 % and 175 staff in total with offices in the UK , Germany and Benelux .
neutral	The impact on TietoEnator 's net sales for 2008 from the purchase is expected to be some 11 mln euro $ 15.9 mln .
negative	According to Swedish authorities , traces of the very toxic osmium tetroxide have been found on the coast of Per+ñmeri , the Northernmost part of the Gulf of Bothnia .
neutral	The company is in charge of all natural gas storage activities in France , Great Britain , and Germany .
neutral	Ahlstrom , headquartered in Helsinki , Finland , is a global company involved in the development , manufacture and marketing of high performance fibre-based materials .
positive	Return on capital employed rose by 4.8 percentage points to 19.6 % .
positive	Return on investment was 16.6 % compared to 15.8 % in 2004 .
positive	Profit after taxes was EUR 0.1 mn , compared to EUR -0.4 mn the previous year .
negative	Kone said in court papers that the union action delayed repairs to elevators at the federal courthouse on Jan. 21 and the Saltonstall state office building on Jan. 23 .
neutral	The order values at EUR 6.9 mn , and it consists of design services and hardware and software licences .
positive	The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .
neutral	International operations accounted for over 80 % of net sales .
positive	Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .
neutral	The Company operates through four principal divisions : Consumer Packaging ; Office Papers ; Speciality Papers , as well as Market Pulp and Energy .
positive	The energy-efficient data center will be built by combining an effective energy solution with state-of-the-art technology .
positive	ADP News - Feb 25 , 2009 - Finnish printed circuit board PCB maker Aspocomp Group Oyj HEL : ACG1V said today it swung to a net profit of EUR 300,000 USD 385,000 for 2008 versus a net loss of EUR 65.3 million
positive	With the measures , Suominen Corporation aims to ensure the competitiveness of the Flexible Packaging business in the long term .
negative	In October , UPM reported a third-quarter net loss of euro86 million $ 110 million compared with a net profit of euro120 million in 2007 .
positive	These moderate but significant changes resulted in a significant 24-32 % reduction in the estimated CVD risk .
neutral	The Nokia Music Store begins trading on Tuesday , selling singles and albums as well as live music streaming .
positive	Net sales in 2007 are expected to be 10 % up on 2006 .
neutral	In January-September 2007 , operating profit totaled EUR 20.5 mn .
neutral	The donations are granted to Aalto University and the universities of Helsinki , Tampere , Turku , Eastern Finland , Jyv+ñskyl+ñ , Oulu and Vaasa , and to polytechnics to be announced later .
neutral	The net sales of the Power Plants business were EUR 710.3 million in 2005 .
negative	Operating profit totalled EUR 9.6 mn , down from EUR 42.0 mn the year before .
neutral	The price of GMO soy is 5 % -7 % lower than that of non-GMO .
neutral	In April-June 2008 , Scanfil 's net sales totalled EUR 58.7 mn and operating profit EUR 6.6 mn .
neutral	According to Tyrv+ñinen 's estimation , Japan is a very essential location in terms of Finnair 's Asian strategy .
neutral	The contract also includes installation work in a new multistorey carpark for close on 1,000 vehicles .
negative	So far Norwegian Norske Skog has reduced the staff levels by 1,000 people and plans to reduce production by 200,000 tons in 2008 , while Finnish-Swedish Stora Enso is to cut staff by 1,700 people and production by 500,000 tons .
neutral	The effect may remain short-lived , however .
neutral	The trade is in accordance with the agreement announced on 26 March 2008 .
neutral	The project is expected to be completed in 2009 .
positive	Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .
positive	Sales of clothing developed best .
positive	Finnish Bank of +àland 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .
neutral	L+ñnnen Tehtaat 's Food Division was reorganised into two strategic business units , Apetit Frozen Foods and Jams , and Apetit Fish .
neutral	Risto Jalo , chief executive of Dormus Print and also owner of the remainder of the company , will keep his position after the acquisition .
neutral	Measures will be launched immediately and are due to be finalized in the first quarter of 2010 .
neutral	The report will be emailed within 2 business days of an order .
